procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 932096 4047920 117604 5071060    0    0     0   194 4317 2362 77  3 20  0  0  0
 3  0 932096 4047596 117604 5071072    0    0     0    26 4082 2000 75  2 23  0  0  0
 3  0 932096 4047716 117612 5071088    0    0     0    50 4503 2776 77  3 21  0  0  0
 3  0 932096 4048000 117628 5071080    0    0     0    32 4248 2263 76  2 22  0  0  0
 4  0 932096 4045796 117628 5071084    0    0     0     0 4171 1843 76  2 22  0  0  0
 3  0 932096 4045472 117636 5071048    0    0     0    34 4507 2637 77  2 21  0  0  0
 3  0 932096 4044884 117644 5071064    0    0     0    14 4638 3249 76  3 21  0  0  0
 4  0 932096 4045348 117668 5071068    0    0     0    64 5592 5897 78  5 17  0  0  0
 3  0 932096 4042216 117668 5071172    0    0     0     0 4742 3286 76  2 22  0  0  0
 3  0 932096 4046936 117668 5071068    0    0     0     0 4261 2368 75  2 23  0  0  0
 3  0 932096 4047504 117676 5071072    0    0     0    24 4425 2714 75  2 22  0  0  0
 3  0 932096 4047280 117684 5071080    0    0     0    40 4818 3250 76  3 21  0  0  0
 3  0 932096 4045740 117700 5071084    0    0     0    68 4725 2832 76  3 21  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 932096 4044388 117708 5071096    0    0     0    74 4992 4888 78  4 17  0  0  0
 3  0 932096 4045208 117724 5071064    0    0     0    30 4431 2676 75  3 22  0  0  0
 3  0 932096 4047212 117732 5071072    0    0     0    72 4959 3491 76  3 21  0  0  0
 3  0 932096 4045116 117732 5071108    0    0     0     0 4857 3272 76  4 20  0  0  0
 3  0 932096 4044708 117740 5071132    0    0     0    34 4218 2094 76  2 22  0  0  0
 3  0 932096 4045920 117756 5071128    0    0     0   258 4265 2068 76  2 22  0  0  0
